
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.814
  alpha =   -4.286    CLtot =    0.471
  beta  =    0.000

  Sref  =   229.85100
  Bref  =    41.34780
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.233774         0.476092E-01
    0.0393  0.219782         0.431359E-01
    0.1179  0.192469         0.350041E-01
    0.1965  0.166744         0.279184E-01
    0.2751  0.143066         0.218073E-01
    0.3487  0.122840         0.168972E-01
    0.4172  0.105220         0.129734E-01
    0.4858  0.884347E-01     0.964152E-02
    0.5544  0.725409E-01     0.687188E-02
    0.6229  0.576258E-01     0.463232E-02
    0.6915  0.437838E-01     0.288754E-02
    0.7600  0.311173E-01     0.159884E-02
    0.8286  0.197463E-01     0.723716E-03
    0.8972  0.983927E-02     0.214686E-03
    0.9657  0.175908E-02     0.151327E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.233774        -0.476092E-01
   -0.0393  0.219782        -0.431359E-01
   -0.1179  0.192469        -0.350041E-01
   -0.1965  0.166744        -0.279184E-01
   -0.2751  0.143066        -0.218073E-01
   -0.3487  0.122840        -0.168973E-01
   -0.4172  0.105220        -0.129734E-01
   -0.4858  0.884347E-01    -0.964152E-02
   -0.5544  0.725409E-01    -0.687188E-02
   -0.6229  0.576258E-01    -0.463232E-02
   -0.6915  0.437838E-01    -0.288754E-02
   -0.7600  0.311173E-01    -0.159884E-02
   -0.8286  0.197463E-01    -0.723716E-03
   -0.8972  0.983928E-02    -0.214686E-03
   -0.9657  0.175908E-02    -0.151327E-04
   -1.0000   0.00000          0.00000    
